Microsoft Windows [Version 10.0.15063]
(c) 2017 Microsoft Corporation. All rights reserved.

C:\WINDOWS\system32>cd C:\pyfiles

C:\PYFiles>python ethbtc2.py
--------------------------------------------------
BITCOIN PRICE TRACKER v1.2
Definition of Ratios:
R1 = % spread between Bitstamp(ASK)/Gemini(BID)
R2 = % spread between Bitstamp(ASK)/GDAX(BID)
R3 = % spread between Gemini(ASK)/Bitstamp(BID)
R4 = % spread between Gemini(ASK)/GDAX(BID)
R5 = % spread between GDAX(ASK)/Bitstamp(BID)
R6 = % spread between GDAX(ASK)/Gemini(BID)
--------------------------------------------------
Start Time: 2017-08-25T10:20:10.616000-07:00
R3 (Time --- Spread): 2017-08-25T10:22:08.051000-07:00 --- 0.2156
R3 (Time --- Spread): 2017-08-25T10:22:09.835000-07:00 --- 0.2156
R3 (Time --- Spread): 2017-08-25T10:22:11.551000-07:00 --- 0.2156
R3 (Time --- Spread): 2017-08-25T10:22:13.128000-07:00 --- 0.2156
R3 (Time --- Spread): 2017-08-25T10:22:14.866000-07:00 --- 0.2156
R3 (Time --- Spread): 2017-08-25T10:22:16.601000-07:00 --- 0.2155
R3 (Time --- Spread): 2017-08-25T10:22:18.187000-07:00 --- 0.2155
R3 (Time --- Spread): 2017-08-25T10:22:20.119000-07:00 --- 0.2155
R3 (Time --- Spread): 2017-08-25T10:22:21.934000-07:00 --- 0.2023
R3 (Time --- Spread): 2017-08-25T10:22:23.734000-07:00 --- 0.2022
R3 (Time --- Spread): 2017-08-25T10:22:25.503000-07:00 --- 0.1889
R5 (Time --- Spread): 2017-08-25T10:22:25.503000-07:00 --- 0.1092
R3 (Time --- Spread): 2017-08-25T10:22:27.108000-07:00 --- 0.1757
R5 (Time --- Spread): 2017-08-25T10:22:27.109000-07:00 --- 0.1225
R3 (Time --- Spread): 2017-08-25T10:22:28.867000-07:00 --- 0.1756
R5 (Time --- Spread): 2017-08-25T10:22:28.867000-07:00 --- 0.1225
R3 (Time --- Spread): 2017-08-25T10:22:30.624000-07:00 --- 0.1756
R5 (Time --- Spread): 2017-08-25T10:22:30.625000-07:00 --- 0.1225
R3 (Time --- Spread): 2017-08-25T10:22:32.232000-07:00 --- 0.1756
R5 (Time --- Spread): 2017-08-25T10:22:32.233000-07:00 --- 0.1225
R3 (Time --- Spread): 2017-08-25T10:22:34.098000-07:00 --- 0.1756
R5 (Time --- Spread): 2017-08-25T10:22:34.098000-07:00 --- 0.1225
R3 (Time --- Spread): 2017-08-25T10:22:35.835000-07:00 --- 0.1756
R5 (Time --- Spread): 2017-08-25T10:22:35.835000-07:00 --- 0.1224
R3 (Time --- Spread): 2017-08-25T10:22:42.810000-07:00 --- 0.1755
R5 (Time --- Spread): 2017-08-25T10:22:42.811000-07:00 --- 0.2154
R1 (Time --- Spread): 2017-08-25T10:27:46.531000-07:00 --- 0.4232
R2 (Time --- Spread): 2017-08-25T10:27:46.532000-07:00 --- 0.4232
R1 (Time --- Spread): 2017-08-25T10:27:48.154000-07:00 --- 0.4232
R2 (Time --- Spread): 2017-08-25T10:27:48.154000-07:00 --- 0.4232
R1 (Time --- Spread): 2017-08-25T10:27:49.940000-07:00 --- 0.3966
R2 (Time --- Spread): 2017-08-25T10:27:49.940000-07:00 --- 0.4232
